# This CSV file was created by downloading the Excel spreadsheet
# elife-100574-table3-data1-v1.xlsx from the Marino et al 2025 eLife
# paper (https://doi.org/10.7554/eLife.100574.3), then converting the
# spreadsheet to CSV using Excel.
Clade,Species,TaxId,Phylum,Class,Order,Family,Accession_assembly,BUSCO_Duplicate,Genome_size,MaxLongevity_y,Source_MaxLongevity,Mass_g,Source_mass,MaxLongevity_y_log,Mass_g_log,n_markers_phylter_noshortbr,dN_CM_phylter_noshortbr,dS_CM_phylter_noshortbr,dNdS_CM_phylter_noshortbr,n_markers_trimmed,dN_CM_phylter_noshortbr_trimmed,dS_CM_phylter_noshortbr_trimmed,dNdS_CM_phylter_noshortbr_trimmed,brlen_coevol_gcpoor,dS_coevol_gcpoor,dNdS_coevol_gcpoor,brlen_coevol_gcrich,dS_coevol_gcrich,dNdS_coevol_gcrich,Overall_repeat_bp,Overall_repeat_gsperc,DNA_bp,DNA_gsperc,RC_bp,RC_gsperc,LTR_bp,LTR_gsperc,PLE_bp,PLE_gsperc,LINE_bp,LINE_gsperc,SINE_bp,SINE_gsperc,Retroposon_bp,Retroposon_gsperc,Unknown_bp,Unknown_gsperc,Other_bp,Other_gsperc,DNA_recent_gsperc,LINE_recent_gsperc,LTR_recent_gsperc,Other_recent_gsperc,Overall_TEs_recent_gsperc,PLE_recent_gsperc,RC_recent_gsperc,Retroposon_recent_gsperc,SINE_recent_gsperc,Unknown_recent_gsperc,DNA_recent_bp,LINE_recent_bp,LTR_recent_bp,Other_recent_bp,Overall_TEs_recent_bp,PLE_recent_bp,RC_recent_bp,Retroposon_recent_bp,SINE_recent_bp,Unknown_recent_bp
Actinopteri,Lophius_piscatorius,8074,Chordata,Actinopteri,Lophiiformes,Lophiidae,GCA_009660295.1,1.6,910383982.8,24,AnAge,31735,AnAge,3.17805383,10.36517545,788,0.114862204,0.956813935,0.120046541,880,0.1130981,0.970677328,0.11651462,0.367993,0.841819,0.183319,0.3729,0.862182,0.101973,192321784,21.27,14753228,1.63,252512,0.02,1757824,0.19,129180,0.01,20895756,2.31,959736,0.1,120292,0.01,151272776,16.73,2180480,0.24,0.309780916,0.955147232,0.131691846,NA,9.779644966,0.00705492,0.003940586,0.004067702,0.016715712,8.351246051,2820196,8695507,1198901,NA,89032321,64227,35874,37032,152177,76028406
Actinopteri,Pao_palembangensis,1820603,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,GCA_015343265.1,1.8,436756570.4,NA,NA,NA,NA,NA,NA,800,0.054003802,0.429673262,0.12568574,894,0.128237301,1.221624249,0.104972787,0.174825,0.746341,0.188372,0.184446,0.814472,0.105824,62569892,14.48,4482668,1.03,1312,NA,1865004,0.43,1468,NA,11270668,2.6,241620,0.05,400,NA,43353184,10.03,1353568,0.31,0.549263995,1.674352638,0.238186311,NA,9.072654991,0.000171914,0.000343827,NA,0.038164822,6.572171484,2398947,7312845,1040294,NA,39625417,751,1502,NA,166687,28704391
Actinopteri,Takifugu_bimaculatus,433685,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,GCA_004026145.2,5.7,495178751.3,NA,NA,NA,NA,NA,NA,548,0.00595166,0.025956349,0.229294976,NA,NA,NA,NA,0.00975076,0.70009,0.241296,0.00856783,0.632003,0.162304,75402532,15.33,3681756,0.74,10576,NA,3998460,0.81,31672,NA,8207924,1.66,845408,0.17,5496,NA,58139668,11.82,481572,0.09,0.541190688,1.127156967,0.596360613,NA,12.23493022,0.004112044,0.002284469,0.000799564,0.105199794,9.857826077,2679861,5581442,2953051,NA,60584775,20362,11312,3959,520927,48813860
Actinopteri,Takifugu_flavidus,433684,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,GCA_003711565.2,1.2,449156180.4,NA,NA,NA,NA,NA,NA,475,0.00482855,0.032534117,0.148414983,NA,NA,NA,NA,0.00975076,0.507651,0.257205,0.00856783,0.510882,0.166873,68281176,15.31,3301804,0.74,6620,NA,3702740,0.83,34892,NA,5818884,1.3,347564,0.07,1052,NA,54612936,12.24,454684,0.1,0.541923035,0.873684449,0.624329505,NA,11.94253154,0.003894208,0.001004957,0.000628098,0.030776807,9.866290478,2434081,3924208,2804215,NA,53640618,17491,4514,2821,138236,44315053
Actinopteri,Takifugu_rubripes,31033,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,GCA_901000725.3,3.8,470748210.4,NA,NA,NA,NA,NA,NA,593,0.005370295,0.023836477,0.225297335,NA,NA,NA,NA,0.0176938,0.401775,0.234865,0.0170977,0.377872,0.164433,47192952,10.09,2703312,0.57,1620,NA,1917184,0.41,78988,0.01,5212376,1.11,224500,0.04,5948,NA,35562404,7.6,1486620,0.31,0.519026725,0.837810532,0.339330894,NA,8.278409388,0.008753789,0.000243161,NA,0.015562291,6.557560416,2443309,3943978,1597394,NA,38970464,41208,1145,NA,73259,30869598
Actinopteri,Thamnaconus_septentrionalis,435163,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,GCA_009823395.1,0.9,579899094.9,NA,NA,NA,NA,NA,NA,778,0.128470674,1.391914042,0.092297851,871,0.125978615,1.402218947,0.089842328,0.328503,1.4317,0.121742,0.329009,1.35847,0.0855826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Cheilinus_undulatus,241271,Chordata,Actinopteri,Labriformes,Labridae,GCA_018320785.1,1.9,1426114333,32,FishBase,191000,FishBase,3.465735903,12.16002871,807,0.064402883,0.709601112,0.090759275,897,0.063378687,0.711004491,0.089139644,0.318641,0.70302,0.144008,0.293732,0.713037,0.0704361,476979000,33.68,102319352,7.22,1582624,0.11,5019552,0.35,88304,NA,20105988,1.41,2739580,0.19,20332,NA,341764280,24.13,3338988,0.23,1.149991342,0.469472567,0.216010599,NA,9.223203804,0.001072309,0.019142693,0.001072309,0.025258824,7.341183161,16400191,6695216,3080558,NA,131533431,15292,272997,15292,360220,104693665
Actinopteri,Thalassoma_bifasciatum,76338,Chordata,Actinopteri,Labriformes,Labridae,GCA_008086565.1,21.9,1332239172,3,AnAge,NA,NA,1.098612289,NA,639,0.083191782,0.917941122,0.090628669,718,0.081061108,0.922038003,0.087915149,0.318641,1.01191,0.124818,0.293732,1.08209,0.0649379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Symphodus_melops,171736,Chordata,Actinopteri,Labriformes,Labridae,GCA_002819105.1,3.7,749658908.8,9,AnAge,NA,NA,2.197224577,NA,752,0.077265454,0.724614855,0.106629685,836,0.075827359,0.730827439,0.10375549,0.341669,0.733519,0.149043,0.327803,0.659815,0.0916671,165004092,22.1,7397940,0.99,1472456,0.19,5449308,0.73,80352,0.01,10480464,1.4,1114768,0.14,44032,NA,137830604,18.46,1134168,0.15,0.572773361,0.942482805,0.552806037,NA,17.05925272,0.008288323,0.108501685,0.003390678,0.066557746,14.8043265,4293847,7065406,4144160,NA,127886208,62134,813393,25419,498956,110981953
Actinopteri,Callionymus_lyra,34785,Chordata,Actinopteri,Syngnathiformes,Callionymidae,GCA_016630915.1,1,694151361.1,7,AnAge,NA,NA,1.945910149,NA,801,0.098389687,0.971163102,0.101311187,897,0.096367437,0.985598077,0.097775593,0.17178,1.82039,0.134501,0.191075,1.49769,0.0979612,135914696,19.79,7361560,1.07,2356,NA,4771856,0.69,190644,0.02,19630216,2.85,11368,NA,40456,NA,99609900,14.5,4296340,0.62,0.463017123,1.864931548,0.526591327,NA,11.30657429,0.019321053,0.000211738,0.003440735,0.000635213,8.428425557,3214040,12945448,3655341,NA,78484739,134117,1470,23884,4409,58506031
Actinopteri,Synchiropus_splendidus,270530,Chordata,Actinopteri,Syngnathiformes,Callionymidae,GCA_019776025.1,0.9,590328169,NA,NA,NA,NA,NA,NA,796,0.067042775,0.748037977,0.089624829,893,0.066178304,0.754987591,0.087654823,0.17178,1.60094,0.0945601,0.191075,1.31287,0.0698241,53981252,9.2,4185120,0.71,3760,NA,1942228,0.33,67908,0.01,3533448,0.6,67224,0.01,6020,NA,42977704,7.33,1197840,0.2,0.260657805,0.393008057,0.271438334,NA,5.006112175,0.005005246,0.000673783,NA,0.00163633,4.07369262,1538736,2320037,1602377,NA,29552490,29547,3978,NA,9660,24048155
Actinopteri,Hippocampus_abdominalis,109274,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,GCA_018466805.1,0.9,567240000,NA,NA,NA,NA,NA,NA,806,0.064447905,0.530595923,0.12146325,905,0.064208989,0.547748583,0.117223468,0.178273,0.997612,0.173281,0.142952,1.09479,0.132184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Syngnathus_acus,161584,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,GCA_901709675.2,1.4,398376188,NA,NA,NA,NA,NA,NA,798,0.073941393,0.597649827,0.123720262,897,0.072886135,0.609750854,0.119534289,0.178273,1.04007,0.192134,0.142952,1.43756,0.106251,74070468,18.72,8040196,2.03,30220,NA,2452948,0.62,52660,0.01,10295260,2.6,404968,0.1,516,NA,51601956,13.04,1191744,0.3,1.436575749,2.517720583,0.822980552,NA,15.05667092,0.011648699,0.00684361,0.000145609,0.041061662,10.21954885,5722976,10029999,3278559,NA,59982192,46406,27263,580,163580,40712249
Actinopteri,Euthynnus_affinis,8227,Chordata,Actinopteri,Scombriformes,Scombridae,GCA_019973915.1,1.9,923551605.7,10,AnAge,7700,AnAge,2.302585093,8.948975608,788,0.026381266,0.268188867,0.098368237,881,0.061735827,0.541893531,0.113926119,0.319511,0.229535,0.143256,0.34864,0.274358,0.0783326,108935872,11.87,6597388,0.71,1457792,0.15,1428592,0.15,89692,NA,5498116,0.59,154076,0.01,5276,NA,92181192,10.05,1523748,0.16,0.237199284,0.255837258,0.123569768,NA,6.490239604,0.009132607,0.095488554,0.000248506,0.004038228,5.764725397,2190658,2362789,1141231,NA,59940712,84344,881886,2295,37295,53240214
Actinopteri,Thunnus_albacares,8236,Chordata,Actinopteri,Scombriformes,Scombridae,GCA_914725855.1,1.5,880200000,9,AnAge,200000,FishBase,2.197224577,12.20607265,710,0.007470627,0.058620443,0.127440652,NA,NA,NA,NA,0.0903443,0.111889,0.169156,0.116477,0.126847,0.0906489,117082196,13.39,10350496,1.18,2371896,0.27,1420568,0.16,192644,0.02,6843124,0.78,358636,0.04,8684,NA,93064120,10.64,2472028,0.28,0.427287793,0.321863996,0.13049409,NA,5.924367425,0.012599429,0.189120007,0.000642828,0.014077934,4.828281348,3760987,2833047,1148609,NA,52146282,110900,1664634,5658,123914,42498532
Actinopteri,Thunnus_orientalis,8238,Chordata,Actinopteri,Scombriformes,Scombridae,GCA_009176245.1,4.3,957868366.1,15,FishBase,450000,FishBase,2.708050201,13.01700286,672,0.011056152,0.058241312,0.189833499,NA,NA,NA,NA,0.0903443,0.207991,0.208705,0.116477,0.157919,0.142537,197512224,20.77,15681516,1.64,3882244,0.4,1693296,0.17,28156,NA,12300960,1.29,325900,0.03,816,NA,161664224,17,1935112,0.2,0.431286682,0.412406905,0.109423333,NA,8.625960431,0.000907136,0.22479975,NA,0.005669603,7.441467021,4131159,3950315,1048131,NA,82625346,8689,2153286,NA,54307,71279459
Actinopteri,Bostrychus_sinensis,86224,Chordata,Actinopteri,Gobiiformes,Eleotridae,GCA_018703735.1,1.3,1053072765,NA,NA,NA,NA,NA,NA,810,0.056703799,0.610581697,0.092868488,909,0.055788746,0.620288427,0.089940008,0.197048,0.894926,0.137454,0.195434,1.11418,0.0660805,386177996,36.92,44867664,4.29,631996,0.06,8986788,0.85,31652,NA,26335436,2.51,2220004,0.21,139736,0.01,299200776,28.61,3763944,0.35,2.234014264,1.871170552,0.726397276,NA,26.13823444,0.002566389,0.046085793,0.009282683,0.087639452,21.16096883,23525796,19704787,7649492,NA,275254628,27026,485317,97753,922907,222840400
Actinopteri,Mugilogobius_chulae,88201,Chordata,Actinopteri,Gobiiformes,Gobiidae,GCA_016735935.1,1.3,1220225569,NA,NA,NA,NA,NA,NA,787,0.062119807,0.750679276,0.082751462,882,0.061334695,0.759432476,0.080763856,0.0781658,3.34767,0.0992121,0.078847,3.0767,0.0643128,467115612,38.53,38929168,3.21,1465852,0.12,10819036,0.89,44432,NA,21544128,1.77,10358084,0.85,14132,NA,374114660,30.86,9826120,0.81,1.144665414,1.00131618,0.641804616,NA,16.30562888,0.001831465,0.084445371,0.000346493,0.650615446,12.7806039,13967500,12218316,7831464,NA,198965453,22348,1030424,4228,7938976,155952197
Actinopteri,Rhinogobius_similis,1263952,Chordata,Actinopteri,Gobiiformes,Gobiidae,GCA_019453435.1,1.3,1083138804,NA,NA,NA,NA,NA,NA,795,0.04713012,0.48808861,0.096560581,889,0.045983178,0.490733073,0.093703035,0.0781658,1.86415,0.139563,0.078847,2.15308,0.0785932,357595336,33.25,23434936,2.17,1357268,0.12,17971512,1.67,89148,NA,28197332,2.62,1452356,0.13,129692,0.01,278093496,25.85,6869596,0.63,0.705459506,1.736679278,1.468540354,NA,16.76231326,0.00388983,0.086509811,0.006742371,0.055391174,12.69910093,7641106,18810647,15906330,NA,181559119,42132,937021,73029,599963,137548890
Actinopteri,Periophthalmus_modestus,146921,Chordata,Actinopteri,Gobiiformes,Gobiidae,GCA_019594935.1,3.9,1039955776,NA,NA,NA,NA,NA,NA,778,0.055600964,0.630877938,0.088132681,862,0.055082873,0.631790885,0.087185292,0.0935426,2.03305,0.134884,0.0962339,2.59825,0.0593848,201185288,19.48,23045596,2.23,1063076,0.1,4622356,0.44,358048,0.03,13073348,1.26,1839168,0.17,488,NA,152458408,14.76,4724800,0.45,0.520688072,0.522243485,0.289199638,NA,6.153591182,0.011370609,0.072514449,5.36349E-05,0.023974822,4.713546471,5414926,5431101,3007548,NA,63994627,118249,754118,558,249328,49018799
Actinopteri,Siphamia_tubifer,1536898,Chordata,Actinopteri,Kurtiformes,Apogonidae,GCA_020466265.1,7.4,1459244888,NA,NA,NA,NA,NA,NA,766,0.055338734,0.498608391,0.110986366,861,0.054825446,0.507045967,0.108127171,0.253744,0.473179,0.163925,0.251928,0.784198,0.0801352,522719500,36.07,57158624,3.94,3971620,0.27,14934444,1.03,105744,NA,35314116,2.43,5612860,0.38,158564,0.01,396497380,27.36,8966148,0.61,1.136843299,1.403968079,0.744097257,NA,13.91456434,0.002912394,0.051102807,0.003922024,0.079527773,10.48729788,16589328,20487332,10858201,NA,203047569,42499,745715,57232,1160505,153035358
Actinopteri,Sphaeramia_orbicularis,375764,Chordata,Actinopteri,Kurtiformes,Apogonidae,GCA_902148855.1,3.1,1630890170,NA,NA,NA,NA,NA,NA,806,0.030692387,0.274676485,0.111740134,897,0.030238773,0.275991455,0.109564164,0.253744,0.269289,0.177415,0.251928,0.391155,0.0727063,552924368,34.14,75355960,4.65,1827492,0.11,5255620,0.32,388440,0.02,25889396,1.59,2391968,0.14,67356,NA,429891380,26.54,11856756,0.73,1.62987911,0.860657007,0.186249768,NA,12.97199705,0.011442566,0.050804993,0.002253305,0.056755128,10.17395517,26581538,14036371,3037529,NA,211559025,186616,828574,36749,925614,165926035
Actinopteri,Thalassophryne_amazonica,390379,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,GCA_902500255.1,1.8,2967006723,NA,NA,NA,NA,NA,NA,797,0.150186666,1.29269882,0.11618071,901,0.14692427,1.310539685,0.112109745,0.551582,0.695136,0.168706,0.568439,0.763404,0.0979487,1579907384,53.62,207013492,7.02,2884060,0.09,84103064,2.85,3923952,0.13,237396752,8.05,8366368,0.28,1904512,0.06,1021672168,34.67,12643016,0.42,3.580841812,6.078954463,1.94332628,NA,31.13462102,0.068110573,0.038519677,0.031689541,0.074616372,19.30890854,106243817,180362988,57658621,NA,923766299,2020845,1142881,940231,2213873,572896614
Actinopteri,Myripristis_murdjan,586833,Chordata,Actinopteri,Holocentriformes,Holocentridae,GCA_902150065.1,2.3,1016760615,NA,NA,NA,NA,NA,NA,806,0.08003754,0.756444218,0.10580759,896,0.0794434,0.768810095,0.10333293,0.665228,0.384119,0.146276,0.652265,0.400618,0.082723,125782596,12.45,16457940,1.62,1227060,0.12,3251192,0.32,390428,0.03,8429196,0.83,604656,0.05,31976,NA,93311480,9.24,2078668,0.2,1.165949675,0.638492169,0.257099818,NA,8.444920407,0.023144127,0.078804323,0.002400132,0.015600856,6.263429308,11854917,6491937,2614090,NA,85864625,235320,801251,24404,158623,63684082
Actinopteri,Gadus_morhua,8049,Chordata,Actinopteri,Gadiformes,Gadidae,GCA_902167405.1,2,909540000,25,AnAge,52800,AnAge,3.218875825,10.87426647,794,0.173902732,1.707883833,0.101823513,891,0.170409692,1.741906458,0.097829416,0.776871,0.825287,0.124139,0.778705,0.693723,0.100088,189566464,20.99,16379628,1.81,892048,0.09,9127432,1.01,1344384,0.14,12555140,1.39,1201828,0.13,32552,NA,140902768,15.6,7130684,0.78,1.350735298,1.127730726,0.783939723,NA,15.18775258,0.104500621,0.071003669,0.001665594,0.04854899,11.69962796,12285478,10257162,7130245,NA,138138685,950475,645807,15149,441572,106412796
Actinopteri,Mallotus_villosus,30960,Chordata,Actinopteri,Osmeriformes,Salangidae,GCA_903064625.1,6,599952051.3,10,AnAge,52,FishBase,2.302585093,3.951243719,736,0.045852047,0.385236729,0.11902304,819,0.045525161,0.394523623,0.115392738,0.238324,0.417442,0.195579,0.298416,0.400412,0.0841151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Plecoglossus_altivelis,61084,Chordata,Actinopteri,Osmeriformes,Plecoglossidae,GCA_019972215.1,3.2,549393241.4,3,AnAge,NA,NA,1.098612289,NA,782,0.039042838,0.435689375,0.089611637,872,0.03854964,0.441890252,0.087238042,0.238324,0.557944,0.123325,0.298416,0.492768,0.0555681,89457452,16.44,2146008,0.39,NA,NA,557976,0.1,97068,0.01,5236444,0.96,549212,0.1,543156,0.09,79685836,14.64,641752,0.11,0.215827232,0.578358154,0.067946972,NA,8.603601484,0.004706284,NA,0.072653256,0.064490795,7.599618791,1185740,3177461,373296,NA,47267605,25856,NA,399152,354308,41751792
Actinopteri,Protosalanx_chinensis,240822,Chordata,Actinopteri,Osmeriformes,Salangidae,GCA_010882115.1,3.2,570681250.6,NA,NA,NA,NA,NA,NA,781,0.047752592,0.469461291,0.101717848,867,0.04677089,0.475701804,0.098319766,0.30231,0.472913,0.154327,0.400387,0.392717,0.075591,71988880,12.7,10850508,1.91,151896,0.02,1991692,0.35,307772,0.05,6649848,1.17,314492,0.05,90192,0.01,48717912,8.59,2914568,0.51,1.157507426,0.856311361,0.293833279,NA,9.18081258,0.056577196,0.024704084,0.011334815,0.015113087,6.765431333,6605678,4886808,1676851,NA,52393176,322875,140982,64686,86248,38609048
Actinopteri,Oncorhynchus_gorbuscha,8017,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_017355495.1,44.1,2513460000,3,AnAge,3740,AnAge,1.098612289,8.22684089,439,0.010056311,0.073151437,0.137472501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Oncorhynchus_keta,8018,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_012931545.1,37.7,2435220000,7,AnAge,8745,AnAge,1.945910149,9.076237387,404,0.013071683,0.089611649,0.14587035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529151052,21.87,46573284,1.92,12487936,0.51,7301804,0.3,1222876,0.05,37199408,1.53,1191884,0.04,99932,NA,404753784,16.73,18320144,0.75,0.605772957,0.66701687,0.163683283,NA,9.661233527,0.011959166,0.379197942,0.001348215,0.012932877,7.819247317,14751904,16243328,3986048,NA,235272291,291232,9234304,32832,314944,190415875
Actinopteri,Oncorhynchus_nerka,8023,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_006149115.1,40.5,2801970000,8,AnAge,4240.5,AnAge,2.079441542,8.352436466,401,0.008123821,0.0586057,0.138618269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523333520,54.6,172608236,6.18,9614200,0.34,46851180,1.67,1137108,0.04,179783164,6.44,3130772,0.11,304040,0.01,1091667852,39.13,18236968,0.65,1.722226477,2.607859372,0.920801839,NA,25.02385408,0.019129276,0.221104193,0.005620457,0.044306296,19.48244462,48256269,73071437,25800591,NA,701160884,535997,6195273,157484,1241449,545892253
Actinopteri,Oncorhynchus_mykiss,8022,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_013265735.3,49.9,2630820000,11,AnAge,12235,AnAge,2.397895273,9.412055976,406,0.01018878,0.081478781,0.125048267,461,0.121862104,1.166696997,0.104450517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Oncorhynchus_kisutch,8019,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_002021735.2,48.6,2542800000,5,AnAge,8360,AnAge,1.609437912,9.031213706,404,0.008036955,0.054237541,0.148180665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877177252,34.74,127068344,5.03,21197576,0.83,13423428,0.53,818256,0.03,95862332,3.79,2502628,0.09,852812,0.03,596993928,23.64,18457948,0.73,1.765503262,1.550342642,0.240290149,NA,16.2001778,0.008061659,0.586699845,0.016364948,0.023394187,12.00947717,44893217,39422113,6110098,NA,411938121,204992,14918604,416128,594867,305376986
Actinopteri,Oncorhynchus_tshawytscha,74940,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_018296145.1,42.5,2396100000,9,AnAge,33770,AnAge,2.197224577,10.42732811,450,0.00979114,0.069531509,0.140815864,NA,NA,NA,NA,0.820013,0.394995,0.159211,0.825963,0.521297,0.0773913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Salmo_trutta,8032,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_901001165.2,53.6,2876579935,38,AnAge,50000,FishBase,3.63758616,10.81977828,386,0.017299889,0.123542828,0.140031508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175051728,41.14,183518060,6.42,6208100,0.21,27319016,0.95,1109760,0.03,125299988,4.38,4064688,0.14,140288,NA,803799872,28.14,23591956,0.82,2.483942062,1.743646556,0.545439546,NA,19.98002334,0.012944564,0.132902765,0.001924988,0.040621182,15.01848382,71452579,50157387,15690005,NA,574741342,372361,3823054,55374,1168501,432018692
Actinopteri,Salvelinus_namaycush,8040,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_016432855.1,48.3,2973120000,50,AnAge,17985,AnAge,3.912023005,9.797293356,355,0.008209202,0.056198588,0.146074872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Salvelinus_sp._IW2-2015,2691554,Chordata,Actinopteri,Salmoniformes,Salmonidae,GCA_002910315.2,39.6,2631698061,NA,NA,NA,NA,NA,NA,393,0.016271223,0.117888924,0.138021647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1509145124,57.59,223998452,8.54,691788,0.02,44514664,1.69,777008,0.02,171748104,6.55,2907588,0.11,155560,NA,1049205748,40.04,15146212,0.57,2.771285269,2.255140843,1.060768162,NA,27.62658726,0.016549721,0.009309218,0.003689209,0.043718846,21.46602256,72931861,59348498,27916215,NA,727048361,435539,244991,97089,1150548,564920899
Actinopteri,Arapaima_gigas,113544,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,GCA_900497675.1,6.6,792180000,NA,NA,200000,FishBase,NA,12.20607265,762,0.049111548,0.516830608,0.095024457,856,0.048287129,0.525298147,0.091923281,0.323476,0.455114,0.140077,0.308087,0.537374,0.0758732,128319768,16.27,13848016,1.75,349900,0.04,3214716,0.4,22628,NA,3000480,0.38,897596,0.11,10060,NA,106268008,13.47,708364,0.08,0.400957286,0.099214147,0.140904592,NA,12.33570149,0.002505983,0.010593474,0.000341725,0.02642673,11.65475755,3176303,785955,1116218,NA,97720960,19852,83919,2707,209347,92326658
Actinopteri,Heterotis_niloticus,91721,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,GCA_018136845.1,7.4,817763392.1,NA,NA,NA,NA,NA,NA,753,0.052494405,0.564713829,0.092957535,849,0.051594065,0.575710699,0.08961804,0.323476,0.533491,0.144797,0.308087,0.614564,0.0683424,90796372,11.22,11553616,1.42,24172,NA,2387216,0.29,6308,NA,8568860,1.05,646440,0.07,2620,NA,60100996,7.42,7506144,0.92,0.360010506,0.581911558,0.176246549,NA,5.563523703,0.000595892,0.000366703,0.000229189,0.015997411,4.428165895,2944034,4758660,1441280,NA,45496460,4873,2999,1874,130821,36211920
Actinopteri,Scleropages_formosus,113540,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,GCA_900964775.1,7.1,955407131.1,NA,NA,NA,NA,NA,NA,743,0.066066841,0.70506468,0.093703235,838,0.064097909,0.712585669,0.089951161,0.490413,0.430094,0.136571,0.470376,0.539442,0.0567069,195558300,20.61,35320740,3.72,337800,0.03,8814272,0.92,956236,0.1,24991732,2.63,6570304,0.69,325212,0.03,108305584,11.41,9936420,1.04,0.797036576,1.412108542,0.554518322,NA,10.92534714,0.065594719,0.002976057,0.017370453,0.083633267,7.991684047,7614944,13491386,5297908,NA,104381546,626697,28433,165959,799038,76353119
Actinopteri,Gymnarchus_niloticus,42648,Chordata,Actinopteri,Osteoglossiformes,Gymnarchidae,GCA_009936485.1,5.1,797337640.4,NA,NA,NA,NA,NA,NA,715,0.126446812,1.421213404,0.088971024,810,0.122194184,1.444462831,0.084594896,0.853015,0.532525,0.116281,0.847368,0.588153,0.0676038,148757400,18.78,11455704,1.44,125668,0.01,2938960,0.37,3264,NA,14080540,1.77,450276,0.05,2712,NA,117174124,14.79,2526152,0.31,0.304889301,0.990003713,0.137355778,NA,11.45994429,7.23687E-05,0.005065808,0.000144737,0.00607897,10.01532045,2430997,7893672,1095189,NA,91374449,577,40392,1154,48470,79855920
